,model,semantic_error_count,predicted_text,ground_truth
100808,chatgpt-gpt4o_results,3,by plain-clothes men. Committeemember M. Jorges,by plain-clothes men . Committee-member Mr. George
93401,claude-vision_results,3,"unless I'm exceedingly Eskint. ""But I'll","unless I 'm exceedingly 2skint . "" But I 'll"
94213,claude-vision_results,3,ad your our teacher. You will the be,and your own teacher . You will then be
95734,claude-vision_results,3,"Bella stared. ""You're later than usual, aren't you?""","brella stand . ' You 're later than usual , aren't you ? '"
96698,claude-vision_results,3,"Busses crawl. Veg pale, Broughtons wes. But","Buses crawl . "" Very pale , Broughtons was . But"
96957,claude-vision_results,3,I ain't zeddicated in shootin. It'd be a,2ain't 2eddicated in shootin' . It 'd be a
96959,claude-vision_results,3,"""You're 2 durned tootin', mister,"" said the man",""" You 're 2durned tootin' , mister , "" said the man"
88726,chandra_results,3,"Good luck, Sir Marshal,"" she said gently. ""I'll  
be right behind you.""",""" Good luck , Air Marshal , "" she said gently . "" I 'll"
88811,chandra_results,3,learned gratify tho his native village at the,earned gratuity to his native village at the
88925,chandra_results,3,"teethless maw stretched in a wide grin, bared her","toothless mouth stretched in a wide grin , told her"
88963,chandra_results,3,"weather side of that pie! He'll crack!""","weather side of that pier ! He 'll wreck ! """
88975,chandra_results,3,"with the tiles still had oves, bought","with the tiller still hard over , brought"
88976,chandra_results,3,The hills had oves and at the,the tiller hard over and at the
89065,chandra_results,3,was. I'm Jan Rawley. Does that mean anything,was . I 'm Ian Bawley . Does that mean anything
101636,chatgpt-gpt4o_results,3,was a new illegitimate baby. For the week,and her illegitimate baby . For the most
101643,chatgpt-gpt4o_results,3,"Kruschev, was also here to be","# Khruschev , was also taken to the"
101652,chatgpt-gpt4o_results,3,Word Alexander through he Central,bomb demonstrators thronged the Central
101726,chatgpt-gpt4o_results,3,"Mes sheal Andreí Grechko, co wunanding the","Marshal Andrei Grechko , commanding the"
101423,chatgpt-gpt4o_results,3,Service-men and all uniform by the end,Serviceman out of uniform by the end
101431,chatgpt-gpt4o_results,3,Will this add can be considered. If,where this need even be considered . If
101438,chatgpt-gpt4o_results,3,in at odds with his Sonic chef own,is at odds with the Service chiefs over
101450,chatgpt-gpt4o_results,3,Washington in 1983.,Watkinson is right .
101469,chatgpt-gpt4o_results,3,"Lawrence, standing in a Provosive way","Lawrence , standing as a Progressive , was"
101470,chatgpt-gpt4o_results,3,"echoed in their strongholds, the Bloom.","returned in their strongholds , like Bloem-"
101477,chatgpt-gpt4o_results,3,"Mr. Newman, let the Progressives deprecate","Mr. Plewman , left the Progressives deprived"
101478,chatgpt-gpt4o_results,3,"allegorically by the wicked poet, accidentally","afterwards by the United party candidate ,"
101518,chatgpt-gpt4o_results,3,was gotta appreciate and bein could,that # appeasement over Berlin could
101553,chatgpt-gpt4o_results,3,it was the situation was very weak,that the situation was rather more
101571,chatgpt-gpt4o_results,3,"censored by Mr. Sinwell, James Labour","censured by Mr. Shinwell , former Labour"
100050,chatgpt-gpt4o_results,3,"and lie in, to be backed by Mr. Will Griffith,","and he is to be backed by Mr. Will Griffiths ,"
88237,chandra_results,3,Heather and Neve Wood again at,Heather and Steve stood aghast at
88239,chandra_results,3,The loss from his breakfast-root bread,He rose from his breakfast-nook bench
102190,chatgpt-gpt4o_results,3,centigrade would leave get off to a letter,centigrade would have got off to a better
102259,chatgpt-gpt4o_results,3,programmes in bright cols. In America color T.V is five years,programmes in bright colours . In America colour TV is five years
102379,chatgpt-gpt4o_results,3,What freedom lost if Her policies were adopted?,that freedom last if their policies were adopted ?
102529,chatgpt-gpt4o_results,3,They'll be clipping the man who plays a straight theodolite nerd.,They 'll be clapping the man who plays a straight theodolite next .
102922,chatgpt-gpt4o_results,3,"playwriter and author, wrote: ""Wici's blackg","playwright and author , wrote : "" Wicki's blacks"
102930,chatgpt-gpt4o_results,3,graphed as to kick the director. this earlier,grapher as to Wicki the director . His earlier
102944,chatgpt-gpt4o_results,3,given a galx society keeping on hw,given a gala society reopening on the
101581,chatgpt-gpt4o_results,3,heavily had another hit as the prime minister's,Healey had another tilt at the Prime Minister's
101590,chatgpt-gpt4o_results,3,"have power, and only those who really mean","take part , and only those who "" really meant"
101599,chatgpt-gpt4o_results,3,Then Mr. Healy laughed and on his perk,Then Mr. Healey launched out on his pet
101605,chatgpt-gpt4o_results,3,doing double checks minus box,using double standards . Ministers had
101615,chatgpt-gpt4o_results,3,occurred as it by her. Sin well.,scorn heaped on it by Mr. Shinwell .
101632,chatgpt-gpt4o_results,3,Solicitor General and law Behaves,"Labour Solicitor-General , and Mrs. Barbara"
101635,chatgpt-gpt4o_results,3,This was to remind you of her awareness,This was too reminiscent of the nursemaid
101851,chatgpt-gpt4o_results,3,wires and arms he took off a world car.,forces and arms to touch off a world war .
101872,chatgpt-gpt4o_results,3,WEST GERMANY - Russia could like to be a Germany,WEST GERMANY - Russia would like to see a clear #
102028,chatgpt-gpt4o_results,3,made India was respected globally by providing,made . India has responded handsomely by providing
102116,chatgpt-gpt4o_results,3,have no man make greater than the want,have us run risks greater than the West
89106,chandra_results,3,It's my business. I'll tell you more. You're,""" It 's my business . I 'll tell you more . You 're"
89248,chandra_results,3,"low or five mile valley, sandy-floured. H","four or five mile valley , sandy-floored . It"
89267,chandra_results,3,at the digging there was a roughly - built,of the diggings there was a roughly-built
89355,chandra_results,3,to the ba. Doc and Kilynn well,to the bar . Doc and Lilyan were
89477,chandra_results,3,"which ""back"" she would have to step, only that significant buy","which ' lark ' she would have to stop , only that significant tiny"
89496,chandra_results,3,"""BLES YOU! I HOPE LUKE IS SUITABLE GRATEFUL, PARING."" ""OH, WOH,""",""" Bless you ! I hope Luke is suitably grateful , darling . "" "" Oh , well , """
89529,chandra_results,3,"them out."" He's the canny lark, isn't he?","them out . "" He 's the carrotty lad , isn't he ? """
87033,chandra_results,3,(1) Matzo represent Pesach; (2) Morav,( 1 ) Matzo represents Peshat ; ( 2 ) Moraur
87349,chandra_results,3,latter part of the verse by Rani bas Rabi,latter part of the verse by Rami bar Rabh
87640,chandra_results,3,late still the young Victorian book advertising,later still the young Victorian buck adventuring
87918,chandra_results,3,because we were misunderstanding route markers.,became mere marauding route marches .
88156,chandra_results,3,Seemeth to say that it may not be-,known to say that it was not ne-
106034,chatgpt-gpt4o_results,3,"and Cecil, with a few hes fix drops","and Cecil , with a further six stops"
106107,chatgpt-gpt4o_results,3,"Hello, friend. ""You're later than usual, aren't you?""","brella stand . ' You 're later than usual , aren't you ? '"
106267,chatgpt-gpt4o_results,3,stop panicking and read the latest newspapers,sip pastis and read the local newspapers .
106278,chatgpt-gpt4o_results,3,"One called the Patriots Communists, and at the same time","One called La Patriote is Communist , and at the time"
103639,chatgpt-gpt4o_results,3,equally familiar loops do wild laughter.,equally familiar hoops to mild laughter .
103757,chatgpt-gpt4o_results,3,brandy owner's solace in her anecdotal,brandy owner's solo swish on his anecdotal
103774,chatgpt-gpt4o_results,3,"unless I'm exceedingly Eskiut. ""But I'll","unless I 'm exceedingly 2skint . "" But I 'll"
103854,chatgpt-gpt4o_results,3,toad in the air with is lake,"touch ) in the film , which is better-"
104098,chatgpt-gpt4o_results,3,mashed oud as ad (A); Fig. 3 .,"marked out as at ( A ) , Fig. 3 ."
104127,chatgpt-gpt4o_results,3,carrying out works from hardwood. Not new,ripping out parts from hardwood . Most men
104154,chatgpt-gpt4o_results,3,marshes. They were as deep in the,machines . They never are cheap in the
104179,chatgpt-gpt4o_results,3,timber can be used by Parma plane is,timber can be used but Parana pine is
104394,chatgpt-gpt4o_results,3,the stench of small gone and baby died from infection,the stench of small game and birds dead from insecti-
104572,chatgpt-gpt4o_results,3,si-ply pack uew thip into the store,simply pack new things into the store .
104581,chatgpt-gpt4o_results,3,a well-established lore ad the work,a well-established learner and the world
101842,chatgpt-gpt4o_results,3,Mr. Kreschev raised the body of,MR. KRUSCHEV raises the bogy of
107052,chatgpt-gpt4o_results,3,Ana would she was arriving there might,new world she was entering there might
107163,chatgpt-gpt4o_results,3,"""laot impertinent remarks. u will four other people-""","last impertinent remark . "" With four other people - """
107190,chatgpt-gpt4o_results,3,wake to wake him swim when he is done.,water to make him swim when he is born .
107330,chatgpt-gpt4o_results,3,I ain't dedicated in shootin'. It'd be a,2ain't 2eddicated in shootin' . It 'd be a
107334,chatgpt-gpt4o_results,3,"""massacree, yessir."" ""If you'll take a chance""","2massacree , 2yessir . "" "" If you 'll take a chance"
107350,chatgpt-gpt4o_results,3,"and Jay's head turned over. ""I'd like","and Gay's heart turned over . "" I 'd like"
107360,chatgpt-gpt4o_results,3,I'm glad you're beginning to see that you're wasting,I 'm glad you 're beginning to see that you 're wasting
104743,chatgpt-gpt4o_results,3,"Preparation for Retirement, an an Ocapatioaal","Preparation for Retirement , and on Occupational"
104778,chatgpt-gpt4o_results,3,you the plan. A good start will put them the,you offer them . A good start will put them in a
104881,chatgpt-gpt4o_results,3,He incumbent of the diploma said to the,the incumbent of the highest church in the
104889,chatgpt-gpt4o_results,3,"Co-Je-ce , when I reme-bo introducing myself a","Conference , where I remember introducing myself as"
105406,chatgpt-gpt4o_results,3,"great at the return of Ulkstaryism, Hat the convey","great at the return of Ultratoryism , that the Commons"
105524,chatgpt-gpt4o_results,3,shawn handed seventeen years before he had led the,shown themselves seventeen years before had had the
105581,chatgpt-gpt4o_results,3,no clue has been found for the 6 tic douleurs. As,no cure has been found for the 6tic douloureux . As
105596,chatgpt-gpt4o_results,3,"The 6tic clouloureux. As early qs 1830, whan","the 6tic douloureux . As early as 1830 , when"
106020,chatgpt-gpt4o_results,3,that the wash cock were heavily,that the warm coats were heating
84660,chandra_results,3,"greatest at the return of Ultrastoryism, that the commoners","great at the return of Ultratoryism , that the Commons"
85312,chandra_results,3,"of reeds of paper. ""Gr!"" he muttered aloud, ""there's","of wads of paper . ' Cor ! ' he muttered aloud , ' there 's"
85361,chandra_results,3,"Bella stard. ""You're later than usual, aren't you?""","brella stand . ' You 're later than usual , aren't you ? '"
85500,chandra_results,3,"crim instead for three thousand, that's were I live, just","Grimstead for three thousand , that 's where I live , just"
85521,chandra_results,3,500 pashis and read the total newspapers,sip pastis and read the local newspapers .
108046,chatgpt-gpt4o_results,3,he comment of Rani bar Rath is quoted,the comment of Rami bar Rabh is quoted
108095,chatgpt-gpt4o_results,3,latter part of the verse by Louis des Rath.,latter part of the verse by Rami bar Rabh
108131,chatgpt-gpt4o_results,3,The flotilla pressed in there again most big,the Fladen Ground ( where again most big
108158,chatgpt-gpt4o_results,3,"What kind it is enough are travelling, just as","that find it if enough are travelling , just as"
108215,chatgpt-gpt4o_results,3,Ishued permis ovil some fish.,indeed passing over some fish .
106296,chatgpt-gpt4o_results,3,bal very good in house furnishing and colour; memory,6al view ; good intimate furnishing and colour ; running
106297,chatgpt-gpt4o_results,3,that woke from Butages installation for washing-up.,"hot water from Butagas installation for washing-up ,"
106377,chatgpt-gpt4o_results,3,beech and the tin pie hinges,beech and the thin pine fingers
106395,chatgpt-gpt4o_results,3,nous La Promenade des Anglais. A ceug,over the Promenade des Anglais . A huge
106406,chatgpt-gpt4o_results,3,"could not happen, the chosen save, flee","could ever happen , the chosen sane , the"
106844,chatgpt-gpt4o_results,3,"Connected by the sliding sole of the seced poll-tax,","corrected by the sliding scale of the second poll-tax ,"
108790,chatgpt-gpt4o_results,3,"full-Kox heel supplied 23,000, a fax of","poll-tax had supplied 22,000 , a tax of"
108880,chatgpt-gpt4o_results,3,"learned hook, the eloquent fate leads of","Conrad Noel , the eloquent leader of"
108902,chatgpt-gpt4o_results,3,8 Enough to say that it may not be,known to say that it was not ne-
107518,chatgpt-gpt4o_results,3,"success lost weight in ITV's ""Private Potter,"" Wis","success last night in I T V's "" Private Potter , "" his"
107584,chatgpt-gpt4o_results,3,paragraphs working were omitted. C H. Roberts is 18,paragraphos markings were omitted . C. H. Roberts is of
107761,chatgpt-gpt4o_results,3,"MELACH BRITH ELEOHECHO in Hebrew, Salt is the covenaut of thy God,","( MELACH BRITH ELOHECHO in Hebrew , Salt is the covenant of 1thy God ,"
107942,chatgpt-gpt4o_results,3,"physical illness. That is, an inability of","physical illness . There is , nevertheless , a"
88370,chandra_results,3,phere of the sun. It makes which on Earth would hardly,sphere of the sun . A matter which on Earth would hardly
88373,chandra_results,3,"interest in the Nos, doubtless because their habits is","interest to the Mos , doubtless because their habitat is"
88487,chandra_results,3,"a prominent, a mass of clear rock crusted with","a promontory , a mass of clean rock crowned with"
88492,chandra_results,3,"watching, unaided, from the window, and Han, on the pavement, knowing in his","waving , unkissed , from the window . And Dai , on the pavement , knowing in his"
88505,chandra_results,3,"""Left her all right,"" said Hor. ""Two-thirty-five, on the dot."" ""It's",""" Left here all right , "" said Ifor . "" Two-thirty-five , on the dot . "" "" It 's"
88724,chandra_results,3,arranging a supper party. Then see how it.,arranging a supper party . Then she rang off .
83840,chandra_results,3,and you our teacher. You will the be,and your own teacher . You will then be
84135,chandra_results,3,The inambet of the lighted church is the,the incumbent of the highest church in the
84343,chandra_results,3,"At home, every other high up & priest.","At Rome , every other man was a priest :"
108665,chatgpt-gpt4o_results,3,and that it arises lead to target campaigns,"and that , if archers had no target , campaigns"
108668,chatgpt-gpt4o_results,3,obvious words for those who are judged rough,obvious morals for those who are judges long
85791,chandra_results,3,It also parades *gna* *Collorijida* in a selection of negligence \*?,It also parades Gina Lollobrigida in a selection of neglige*?
86584,chandra_results,3,I ain't redelicateed in shootin'. It'd be a,2ain't 2eddicated in shootin' . It 'd be a
86588,chandra_results,3,"Zmasacre, Zyessir. ""If you'll take a chance","2massacree , 2yessir . "" "" If you 'll take a chance"
86786,chandra_results,3,"CO believed Mrs. Courtney played the part with a gawky,","C O believed him . Courtenay played the part with a gawky ,"
86890,chandra_results,3,the book. King Herod of Herod books of Herod,the rock . King Mesha of Moab boasts of their
81108,chandra_results,3,"hottest of our days in Europe. Even now, aided by","hotbed of war danger in Europe . Even now , aided by"
81123,chandra_results,3,With fire and sword from deities Algyria the right to self-,With fire and sword France denies Algeria the right to self-
81125,chandra_results,3,of a third could come. The best way to work out such a tragic,of a third world war . The best way to rule out such a tragic
81319,chandra_results,3,Hillier in the pictures. It was Mr. Bernerod who,Hitler in the thirties . It was Dr. Verwoerd who
81330,chandra_results,3,maker this very way hopes that he may be in-,makes illusory any hopes that he may be in-
81440,chandra_results,3,people's at the charge.,public of the change .
81769,chandra_results,3,of the village stonewarts of Hambleton & ho,of the village stalwarts of Hambledon who
81776,chandra_results,3,"breast, a firm grip on the willow and a lefty counterpunch for","heart , a firm grip on the willow and a hefty contempt for"
108735,chatgpt-gpt4o_results,3,"rices, quality and care could be efficiently ru-","prices , quality and tax could be efficiently su-"
109735,chatgpt-gpt4o_results,3,"3 Nov, disputed his [illegible], 3 Jul",""" 3Naw , "" disputed Willie . 3"" Just"
109763,chatgpt-gpt4o_results,3,and then we’ll all get hotel and leave. “A,"and then we 'll all get hold and heave . "" A"
109771,chatgpt-gpt4o_results,3,nick. just because he's an Honorable he can do,sick . Just because he 's an Honourable he can do
109775,chatgpt-gpt4o_results,3,do yard and now that she's ready for near he goes,dockyard and now that she 's ready for sea he goes
108983,chatgpt-gpt4o_results,3,Heather and Neve stood again and,Heather and Steve stood aghast at
108986,chatgpt-gpt4o_results,3,"him all, arm dangling loosely.","thrust out , arms dangling loosely ."
109021,chatgpt-gpt4o_results,3,escaped Tibetan subjugation. This time. But we ne,caped Thetan subjugation . This time . But we no
109119,chatgpt-gpt4o_results,3,interest incests to be less doubtless because their habits is,"interest to the Mos , doubtless because their habitat is"
109238,chatgpt-gpt4o_results,3,"moving, unshaded, from the window, and then, on the pavement, knowing in his","waving , unkissed , from the window . And Dai , on the pavement , knowing in his"
109251,chatgpt-gpt4o_results,3,"""Left her all right,"" said Rex. ""Two-thirty-five, on the dot."" ""It's",""" Left here all right , "" said Ifor . "" Two-thirty-five , on the dot . "" "" It 's"
109308,chatgpt-gpt4o_results,3,'m afraid I don't h her Dai again. And,would never see her Dai again . And
109365,chatgpt-gpt4o_results,3,"Stared back did Price Ru Provision, unwinding.","Stared back did Price the Provisions , unwinking ."
109618,chatgpt-gpt4o_results,3,"from him to handle gently, wd, sensing something","from him to fondle Judy , who , sensing something"
108218,chatgpt-gpt4o_results,3,the wine-red film the weekly hummel 6,the seine-net film this usually seemed to
108219,chatgpt-gpt4o_results,3,hoppin just past the fish head rising above,happen just after the fish had risen above
108389,chatgpt-gpt4o_results,3,How our universe has always been there.,than mere converse has always been there .
82203,chandra_results,3,Scan a crucial spring up on the right of,Soon a carnival springs up on the sight of
82303,chandra_results,3,The film version of Mir Shabagh Delany's play A,The film version of Miss Shelagh Delaney's play A
83028,chandra_results,3,"unless I'm exceedingly sick. ""But I'll","unless I 'm exceedingly 2skint . "" But I 'll"
83051,chandra_results,3,"""That's enough of all that honey."" HE slumps","That 's enough of all that hooey . "" HE plunges"
83433,chandra_results,3,timber can be used by Parma plane is,timber can be used but Parana pine is
83649,chandra_results,3,of DPT and fuel oil over 3 million acres a year,of DDT and fuel oil over 3 million acres or when
83838,chandra_results,3,"logists, way of who would be to","logists , many of whom would like to"
80324,chandra_results,3,corrected that image. The now he has,correct that image . The bow tie has
80383,chandra_results,3,"otage, but the French have me at their","stage , but the French have one of their"
80407,chandra_results,3,"that G-51, and the F-104 Starfighter,","Fiat G-91 , and the F 104 Starfighter ,"
80510,chandra_results,3,troops. This made theme was that unclear,troops . His main theme was that nuclear
80644,chandra_results,3,about 400'000 men. The White Service,"about 400,000 men . The three Services"
80853,chandra_results,3,Then Mr. Mealy laughed out as his pet,Then Mr. Healey launched out on his pet
80868,chandra_results,3,Godley's performance mesmerized all the minds,Godber's performance merited all the mild
109730,chatgpt-gpt4o_results,3,"knocked the pier, the judge, and lap","reached the pier , the judge on legs"
109731,chatgpt-gpt4o_results,3,lip or fever jaws. That boy of,hip as I ever saw . That boy of
116128,chatgpt5_results,3,"Nea politan , Or Guiseppe Mauro , whom Anglesey","Neapolitan , Dr Giuseppe Mauro , whom Anglesey"
116495,chatgpt5_results,3,"Bella stared. ""You're later than usual, aren't you?""","brella stand . ' You 're later than usual , aren't you ? '"
117010,chatgpt5_results,3,they like melons even at night-time.,"1thy life means even at night-time . """
109814,chatgpt-gpt4o_results,3,"""do you?"" I did. Jan Bawley's name was","to you ? "" It did . Ian Bawley's name was"
109852,chatgpt-gpt4o_results,3,"""It's my business, I'll tell you more. You're",""" It 's my business . I 'll tell you more . You 're"
109938,chatgpt-gpt4o_results,3,"""ever me. “Yes,” I said. It'll be near to-""","near me . "" Yes , "" I said . "" It 'll be here to-"
109949,chatgpt-gpt4o_results,3,"playing the NFL be in danger. ""That's so","flying she might be in danger . "" "" That 's so ."
109951,chatgpt-gpt4o_results,3,"Turned the conversation. ""Let's ride the wave.""","turned the conversation . "" Let 's ride over"
110106,chatgpt-gpt4o_results,3,"Her caught her breath, and laid","then caught her breath , a cold hand"
110211,chatgpt-gpt4o_results,3,and in Liverpool they'd walk sea-faces.,and in Liverpool they 'd want sea-farers .
110223,chatgpt-gpt4o_results,3,"which ""task"" she would have to prep, only that significant thing","which ' lark ' she would have to stop , only that significant tiny"
110257,chatgpt-gpt4o_results,3,"No someday, Phil. He's always doing that.","to somebody , Phil . He 's always doing that . """
110275,chatgpt-gpt4o_results,3,"Them out. “He’s the cowardly ?ace, isn't he?”","them out . "" He 's the carrotty lad , isn't he ? """
109675,chatgpt-gpt4o_results,3,"explained right at the the stat trat “Mis' Beryl""","explained right at the start that "" 3Mis' Beryl """
109695,chatgpt-gpt4o_results,3,"of a mile and a half, came the jowl under his pill","of a mile and a half , came the yawl under her full"
109709,chatgpt-gpt4o_results,3,"""weather side of that pie ! He'll crack !""","weather side of that pier ! He 'll wreck ! """
112411,chatgpt5_results,3,re - established in their part by negotiations,re-established in their port by negotiation
80869,chandra_results,3,scorn wrapped on it by Mrs. Simwell.,scorn heaped on it by Mr. Shinwell .
80872,chandra_results,3,"me leftwing opinion so coolly, nubbed last",the Left-wing opinion so coolly snubbed last
80891,chandra_results,3,"port, Mr. Gooder mumbled his way","part , Mr. Godber muttered his way"
80906,chandra_results,3,could demonstrate through the Central,bomb demonstrators thronged the Central
81036,chandra_results,3,May any fort not determining its future.,play any part in # determining its future .
81096,chandra_results,3,Mr. Krescher raised the body of,MR. KRUSCHEV raises the bogy of
9814,Qwen3-VL-8B-Instruct_results,3,It's my business. I'll tell you more. You're,""" It 's my business . I 'll tell you more . You 're"
9935,Qwen3-VL-8B-Instruct_results,3,Country that lay all around Gibbong Crany.,country that lay all round Gilburg Crossing .
9973,Qwen3-VL-8B-Instruct_results,3,go and kill Mick Dowd we've come to talk,go and tell Nick Dowd we 've come to talk
79301,chandra_results,3,meeting of Labour OM Pr tomorrow. Mr. Michael,meeting of Labour 0M Ps tommorow . Mr. Michael
113166,chatgpt5_results,3,Britain is an ever more danger ous position.,Britain in an even more dangerous position .
113337,chatgpt5_results,3,Soon a crowd sprang up at the sight of,Soon a carnival springs up on the sight of
114268,chatgpt5_results,3,middle - aged romances respectably well and,middle-aged romancers respectably wed and
114542,chatgpt5_results,3,madness. They were as deep in the,machines . They never are cheap in the
114762,chatgpt5_results,3,with vertical members as shewn in the plans. Take le,with vertical members as shown in the plans . Make the
9153,Qwen3-VL-8B-Instruct_results,3,sensational's going to happen. There's brings lurking,sensational 's going to happen . There 's things lurking
9213,Qwen3-VL-8B-Instruct_results,3,"""Git her all right,"" said Dor. ""Two-thirty-five, on the dot."" ""It's",""" Left here all right , "" said Ifor . "" Two-thirty-five , on the dot . "" "" It 's"
9214,Qwen3-VL-8B-Instruct_results,3,"He made, now, for did, ""Dai Pugh,"" he bellowed, ""Leap on your bicycle","the mask , now , Ifor did . "" Dai Pugh , "" he bellowed . "" Leap on your bicycle"
9332,Qwen3-VL-8B-Instruct_results,3,"Mutilinous dog, Rough! He Rev. Edwards, who hadn't","Mutinous dog , thought the Rev. Edwards , who hadn't"
9429,Qwen3-VL-8B-Instruct_results,3,an eventful life had become acquainted with,uneventful life had he come across a girl who
117748,chatgpt5_results,3,I'm glad you're beginning to see That you're wasting,I 'm glad you 're beginning to see that you 're wasting
119367,chatgpt5_results,3,his boss. He yielded his own,his toes . He stretched his arms
120240,chatgpt5_results,3,"""It's my business, I'll tell you more, You're",""" It 's my business . I 'll tell you more . You 're"
120668,chatgpt5_results,3,"Do something, Phil. He's always doing that.""","to somebody , Phil . He 's always doing that . """
131760,gemini-portkey_results,3,diferent - fundamentally diferent from that of Labor. They,different - fundamentally different from that of Labour . They
132638,gemini-portkey_results,3,Wahinson i ght.,Watkinson is right .
110401,chatgpt-gpt4o_results,3,I don’t know.,"soon be his wife . The Devil , he thought ,"
110407,chatgpt-gpt4o_results,3,"the fiend friend of the family, Lesie Re","the fake friend of the family , like the"
111181,chatgpt5_results,3,by plain-clothes men. Committeemember M. Jorge,by plain-clothes men . Committee-member Mr. George
111763,chatgpt5_results,3,about 400'000 men. The Home Service,"about 400,000 men . The three Services"
112215,chatgpt5_results,3,Mr. Kreschev raised the body of,MR. KRUSCHEV raises the bogy of
6499,Qwen3-VL-8B-Instruct_results,3,It also parades gna Collobrigidia in a selection of negligence.,It also parades Gina Lollobrigida in a selection of neglige*?
6540,Qwen3-VL-8B-Instruct_results,3,in def. 2.8 and 1. of Vol. 4.13.,in Neh. 2.8 and S. of Sol. 4.13 .
7292,Qwen3-VL-8B-Instruct_results,3,I ain't dedicated in shootin'. It'd be a,2ain't 2eddicated in shootin' . It 'd be a
7294,Qwen3-VL-8B-Instruct_results,3,"""You're Zdurned footin', mister,"" said the man",""" You 're 2durned tootin' , mister , "" said the man"
135676,gemini-portkey_results,3,"' is not a letter. 'h' is the most likely candidate.
So, ""months"".
Let's re-examine the second word. 'a', 's'. Yes",mantis as a pest control in the cold
132822,gemini-portkey_results,3,any inner areas.,only little ones .
79304,chandra_results,3,could be in to be backed by Mr. Will Griffiths.,"and he is to be backed by Mr. Will Griffiths ,"
79539,chandra_results,3,Weavers of New York. One of his talks with,Weaver of New York . One of his tasks will
79671,chandra_results,3,"between Foreign Ministers, who is due R","German Foreign Minister , who is due in"
79700,chandra_results,3,dollar reserves. Dr. Adams's course in the,dollar reserves . Dr. Adenauer's answer is the
79701,chandra_results,3,have the obvious intent in upholding the new,run the obvious risks in upsetting the new
80014,chandra_results,3,"by Comrades Krobò Edusei, Tewie Ademfio,"" and","by Comrades Krobo Edusei , Tawia Adamafio , "" and"
80222,chandra_results,3,Prince Louwanna Phoebe to join this,Prince Souvanna Phouma to join his
8948,Qwen3-VL-8B-Instruct_results,3,"ll, un cur, and dangling loosely.","thrust out , arms dangling loosely ."
8979,Qwen3-VL-8B-Instruct_results,3,hurrier the brake to a screeching stop. A,"Laurier , he braked to a screeching stop . A"
9007,Qwen3-VL-8B-Instruct_results,3,ing how the Phelan madinations had been,ting how the Thetan machinations had been
138310,gemini-portkey_results,3,"""Didn't they teach you at Cromwell that busses aren't",""" Didn't they teach you at Cranwell that buses are"
138570,gemini-portkey_results,3,"massacree, yessir."" ""If you'll take a chance","2massacree , 2yessir . "" "" If you 'll take a chance"
138596,gemini-portkey_results,3,I'm glad you're beginning to see that you're wasting,I 'm glad you 're beginning to see that you 're wasting
135006,gemini-portkey_results,3,"unless I'm exceedingly skint. ""But I'll","unless I 'm exceedingly 2skint . "" But I 'll"
135007,gemini-portkey_results,3,""".
        *   Wait, let me look at the whole phrase. ""Royce a [scribble] type of transport. [Word] the"".
        *   Let's look",Royce a type of transport . She 's the
135086,gemini-portkey_results,3,"tood) in the film, wich is bette -","touch ) in the film , which is better-"
9609,Qwen3-VL-8B-Instruct_results,3, He's quick capable of killing Sir John to take,He 's quite capable of telling Sir John to take
9612,Qwen3-VL-8B-Instruct_results,3, Nat Forrest might at least have hired. He's,But Forrest might at least have tried . He 's
9657,Qwen3-VL-8B-Instruct_results,3,"of a mile and a half, came the jowl under his fell","of a mile and a half , came the yawl under her full"
9671,Qwen3-VL-8B-Instruct_results,3,"weathers side of that pie! He'll wreck!""","weather side of that pier ! He 'll wreck ! """
9683,Qwen3-VL-8B-Instruct_results,3,"with the tiles still had overs, bought","with the tiller still hard over , brought"
9684,Qwen3-VL-8B-Instruct_results,3,the titles had cues and at the,the tiller hard over and at the
9693,Qwen3-VL-8B-Instruct_results,3,lip on Jever saw. That boy of,hip as I ever saw . That boy of
6192,Qwen3-VL-8B-Instruct_results,3,"who, but it's a very general rule, Mrs. Buxbery,",""" Oh , but it 's a very general rule , Mrs. Buttery ,"
6271,Qwen3-VL-8B-Instruct_results,3,"mmutated on a nearby roof top, the other prim copulabily.","immolated on a nearby roof top , the other pair copulating ."
6362,Qwen3-VL-8B-Instruct_results,3,we parked hu dambretta opposite hu,We parked the Lambretta opposite the
936,Qwen3-VL-8B-Instruct_results,3,of Crime Book Club have arrived in,of Prince Boun Oum have arrived in
1412,Qwen3-VL-8B-Instruct_results,3,washington in sight.,Watkinson is right .
1420,Qwen3-VL-8B-Instruct_results,3,incarnant where one abhenician has to be,moment # when attention had to be
1449,Qwen3-VL-8B-Instruct_results,3, evident that votes were barred by hue,evident that voters were bored by the
1495,Qwen3-VL-8B-Instruct_results,3,It was the end of the rabies curians,It was the end of a rather curious
1539,Qwen3-VL-8B-Instruct_results,3,"obscene or Berlin, damaging and obscene","obscure on Berlin , damaging and obscure"
1563,Qwen3-VL-8B-Instruct_results,3,we Qn hear the waliqned naticus for rat,rebuked the unaligned nations for not
1577,Qwen3-VL-8B-Instruct_results,3,corn heaped on it by her. She well.,scorn heaped on it by Mr. Shinwell .
141089,gemini-portkey_results,3,"""It's my business. I'll tell you more. You're",""" It 's my business . I 'll tell you more . You 're"
